101 + 101 = 10010, zero flag=0, sign flag=1, dzf=0 
101 - 101 = 00000, zero flag=1, sign flag=0, dzf=0 
101 * 101 = 00001, zero flag=0, sign flag=0, dzf=0 
101 % 101 = 00000, zero flag=1, sign flag=0, dzf=0 
101 + 110 = 10011, zero flag=0, sign flag=1, dzf=0 
101 - 110 = 00001, zero flag=0, sign flag=0, dzf=0 
101 * 110 = 00010, zero flag=0, sign flag=0, dzf=0 
101 % 110 = 10001, zero flag=0, sign flag=1, dzf=0 
101 + 111 = 10100, zero flag=0, sign flag=1, dzf=0 
101 - 111 = 00010, zero flag=0, sign flag=0, dzf=0 
101 * 111 = 00011, zero flag=0, sign flag=0, dzf=0 
101 % 111 = 10001, zero flag=0, sign flag=1, dzf=0 
101 + 000 = 10001, zero flag=0, sign flag=1, dzf=0 
101 - 000 = 10001, zero flag=0, sign flag=1, dzf=0 
101 * 000 = 00000, zero flag=1, sign flag=0, dzf=0 
101 % 000 = 00000, zero flag=1, sign flag=0, dzf=1 
101 + 001 = 00000, zero flag=1, sign flag=0, dzf=0 
101 - 001 = 10010, zero flag=0, sign flag=1, dzf=0 
101 * 001 = 10001, zero flag=0, sign flag=1, dzf=0 
101 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
101 + 010 = 00001, zero flag=0, sign flag=0, dzf=0 
101 - 010 = 10011, zero flag=0, sign flag=1, dzf=0 
101 * 010 = 10010, zero flag=0, sign flag=1, dzf=0 
101 % 010 = 10001, zero flag=0, sign flag=1, dzf=0 
101 + 011 = 00010, zero flag=0, sign flag=0, dzf=0 
101 - 011 = 10100, zero flag=0, sign flag=1, dzf=0 
101 * 011 = 10011, zero flag=0, sign flag=1, dzf=0 
101 % 011 = 10001, zero flag=0, sign flag=1, dzf=0 
110 + 101 = 10011, zero flag=0, sign flag=1, dzf=0 
110 - 101 = 10001, zero flag=0, sign flag=1, dzf=0 
110 * 101 = 00010, zero flag=0, sign flag=0, dzf=0 
110 % 101 = 00000, zero flag=1, sign flag=0, dzf=0 
110 + 110 = 10100, zero flag=0, sign flag=1, dzf=0 
110 - 110 = 00000, zero flag=1, sign flag=0, dzf=0 
110 * 110 = 00100, zero flag=0, sign flag=0, dzf=0 
110 % 110 = 00000, zero flag=1, sign flag=0, dzf=0 
110 + 111 = 10101, zero flag=0, sign flag=1, dzf=0 
110 - 111 = 00001, zero flag=0, sign flag=0, dzf=0 
110 * 111 = 00110, zero flag=0, sign flag=0, dzf=0 
110 % 111 = 10010, zero flag=0, sign flag=1, dzf=0 
110 + 000 = 10010, zero flag=0, sign flag=1, dzf=0 
110 - 000 = 10010, zero flag=0, sign flag=1, dzf=0 
110 * 000 = 00000, zero flag=1, sign flag=0, dzf=0 
110 % 000 = 00000, zero flag=1, sign flag=0, dzf=1 
110 + 001 = 10001, zero flag=0, sign flag=1, dzf=0 
110 - 001 = 10011, zero flag=0, sign flag=1, dzf=0 
110 * 001 = 10010, zero flag=0, sign flag=1, dzf=0 
110 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
110 + 010 = 00000, zero flag=1, sign flag=0, dzf=0 
110 - 010 = 10100, zero flag=0, sign flag=1, dzf=0 
110 * 010 = 10100, zero flag=0, sign flag=1, dzf=0 
110 % 010 = 00000, zero flag=1, sign flag=0, dzf=0 
110 + 011 = 00001, zero flag=0, sign flag=0, dzf=0 
110 - 011 = 10101, zero flag=0, sign flag=1, dzf=0 
110 * 011 = 10110, zero flag=0, sign flag=1, dzf=0 
110 % 011 = 10010, zero flag=0, sign flag=1, dzf=0 
111 + 101 = 10100, zero flag=0, sign flag=1, dzf=0 
111 - 101 = 10010, zero flag=0, sign flag=1, dzf=0 
111 * 101 = 00011, zero flag=0, sign flag=0, dzf=0 
111 % 101 = 00000, zero flag=1, sign flag=0, dzf=0 
111 + 110 = 10101, zero flag=0, sign flag=1, dzf=0 
111 - 110 = 10001, zero flag=0, sign flag=1, dzf=0 
111 * 110 = 00110, zero flag=0, sign flag=0, dzf=0 
111 % 110 = 10001, zero flag=0, sign flag=1, dzf=0 
111 + 111 = 10110, zero flag=0, sign flag=1, dzf=0 
111 - 111 = 00000, zero flag=1, sign flag=0, dzf=0 
111 * 111 = 01001, zero flag=0, sign flag=0, dzf=0 
111 % 111 = 00000, zero flag=1, sign flag=0, dzf=0 
111 + 000 = 10011, zero flag=0, sign flag=1, dzf=0 
111 - 000 = 10011, zero flag=0, sign flag=1, dzf=0 
111 * 000 = 00000, zero flag=1, sign flag=0, dzf=0 
111 % 000 = 00000, zero flag=1, sign flag=0, dzf=1 
111 + 001 = 10010, zero flag=0, sign flag=1, dzf=0 
111 - 001 = 10100, zero flag=0, sign flag=1, dzf=0 
111 * 001 = 10011, zero flag=0, sign flag=1, dzf=0 
111 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
111 + 010 = 10001, zero flag=0, sign flag=1, dzf=0 
111 - 010 = 10101, zero flag=0, sign flag=1, dzf=0 
111 * 010 = 10110, zero flag=0, sign flag=1, dzf=0 
111 % 010 = 10001, zero flag=0, sign flag=1, dzf=0 
111 + 011 = 00000, zero flag=1, sign flag=0, dzf=0 
111 - 011 = 10110, zero flag=0, sign flag=1, dzf=0 
111 * 011 = 11001, zero flag=0, sign flag=1, dzf=0 
111 % 011 = 00000, zero flag=1, sign flag=0, dzf=0 
000 + 101 = 10001, zero flag=0, sign flag=1, dzf=0 
